Date,Open,High,Low,Close,Adj Close,Volume
2021-08-17,28.980000,29.000000,28.209999,28.320000,28.320000,432900
2021-08-18,28.139999,28.799999,28.139999,28.209999,28.209999,342200
2021-08-19,27.940001,28.990000,27.870001,28.959999,28.959999,403500
2021-08-20,29.030001,29.510000,28.910000,29.320000,29.320000,329500
2021-08-23,29.570000,30.010000,29.469999,29.850000,29.850000,348800
2021-08-24,29.879999,30.020000,29.580000,29.799999,29.799999,269500
2021-08-25,29.920000,30.520000,29.760000,30.020000,30.020000,270800
2021-08-26,29.459999,30.461000,29.459999,30.030001,30.030001,352100
2021-08-27,30.010000,30.870001,29.910000,30.690001,30.690001,472900
2021-08-30,30.820000,31.000000,30.510000,30.830000,30.830000,402800
2021-08-31,30.799999,30.980000,30.530001,30.950001,30.950001,356100
2021-09-01,31.049999,31.080000,30.520000,31.049999,31.049999,619000
2021-09-02,31.100000,31.440001,30.910000,31.049999,31.049999,443700
2021-09-03,30.910000,30.910000,30.450001,30.660000,30.660000,260900
2021-09-07,30.549999,31.670000,30.549999,30.889999,30.889999,608300
2021-09-08,30.719999,30.830000,30.030001,30.219999,30.219999,304200
2021-09-09,30.270000,30.629999,29.809999,29.820000,29.820000,445500
2021-09-10,30.129999,30.620001,29.930000,30.280001,30.280001,401100
2021-09-13,30.520000,30.750000,30.180000,30.680000,30.680000,429700
2021-09-14,30.780001,30.780001,29.350000,29.650000,29.650000,489300
2021-09-15,29.650000,30.280001,29.520000,30.270000,30.270000,541700
2021-09-16,30.370001,30.430000,29.799999,30.219999,30.219999,388500
2021-09-17,30.430000,30.920000,29.950001,29.980000,29.980000,2377000
2021-09-20,29.139999,29.629999,28.450001,29.049999,29.049999,829800
2021-09-21,29.209999,29.350000,28.590000,28.740000,28.740000,462100
2021-09-22,28.770000,29.190001,28.709999,28.959999,28.959999,436800
2021-09-23,29.030001,29.360001,28.990000,29.190001,29.190001,533600
2021-09-24,29.020000,29.415001,28.700001,29.190001,29.190001,448500
2021-09-27,29.100000,30.150000,29.100000,29.990000,29.990000,789800
2021-09-28,29.990000,29.990000,29.180000,29.629999,29.629999,498400
2021-09-29,29.830000,30.110001,29.440001,30.010000,30.010000,434900
2021-09-30,29.900000,30.040001,28.900000,29.049999,29.049999,488900
2021-10-01,29.270000,29.719999,28.719999,29.580000,29.580000,369500
2021-10-04,29.650000,29.650000,28.830000,29.100000,29.100000,434900
2021-10-05,29.260000,30.170000,29.243000,29.980000,29.980000,420000
2021-10-06,29.500000,29.879999,29.400000,29.820000,29.820000,242100
2021-10-07,30.170000,30.670000,30.110001,30.290001,30.290001,245000
2021-10-08,30.350000,30.350000,29.540001,29.639999,29.639999,230000
2021-10-11,29.780001,29.870001,29.459999,29.580000,29.580000,192500
2021-10-12,29.580000,29.709999,29.170000,29.180000,29.180000,213800
2021-10-13,29.219999,29.540001,28.775000,29.480000,29.480000,260500
2021-10-14,29.799999,29.999001,29.440001,29.600000,29.600000,428200
2021-10-15,30.110001,30.129999,29.100000,29.120001,29.120001,472400
2021-10-18,28.940001,29.459999,28.590000,29.450001,29.450001,210600
2021-10-19,29.370001,29.610001,29.110001,29.320000,29.320000,204200
2021-10-20,29.365000,29.930000,29.280001,29.480000,29.480000,179900
2021-10-21,29.570000,29.820000,29.430000,29.740000,29.740000,190600
2021-10-22,29.719999,30.670000,29.700001,30.580000,30.580000,221000
